numTrees,maxDepth,maxBins,minInstancesPerNode,RMSE
50,5,32,1,0.552317173076529
50,5,32,2,0.5692699190606684
50,5,64,1,0.5559451733949275
50,5,64,2,0.566242000403998
50,10,32,1,0.3250093370086277
50,10,32,2,0.3503252424653493
50,10,64,1,0.32616353708989027
50,10,64,2,0.3512543088630184
50,15,32,1,0.3127095239970066
50,15,32,2,0.34166669979961967
50,15,64,1,0.3177112209321844
50,15,64,2,0.34086603974187507
100,5,32,1,0.5378970188384082
100,5,32,2,0.5545579302708772
100,5,64,1,0.5320736486074085
100,5,64,2,0.5345218288890129
100,10,32,1,0.3054998306940491
100,10,32,2,0.344799348245181
100,10,64,1,0.31341332413405193
100,10,64,2,0.34696671416162816
100,15,32,1,0.29563410862290324
100,15,32,2,0.3374431829067022
100,15,64,1,0.30481981769534716
100,15,64,2,0.3405067127099077
150,5,32,1,0.524203710473857
150,5,32,2,0.5389100615073067
150,5,64,1,0.5157381550786705
150,5,64,2,0.5417810294786102
150,10,32,1,0.2948805834829646
150,10,32,2,0.3423759590267535
150,10,64,1,0.30866131103635513
150,10,64,2,0.33791617795998935
150,15,32,1,0.2843768690893939
150,15,32,2,0.33586888087255234
150,15,64,1,0.29943274792289604
150,15,64,2,0.33119501221631803
150,15,32,1,0.21023411898273872
